Implemented,Name,Description,Unit,Resolution,Default,Min,Max,Datatype,Modbus Addr,Type,Length,FCr,FCw,Access
,CurrentMinString2ModuleX,,A,0.01,0,-20000,20000,INT16,6407,Register,20,03,,r
,CurrentMinString3,,A,0.01,0,-20000,20000,INT16,6427,Register,1,03,,r
,CurrentMinString3ModuleX,,A,0.01,0,-20000,20000,INT16,6428,Register,20,03,,r
,CurrentMaxSystem,,A,0.01,0,-20000,20000,INT16,6448,Register,1,03,,r
,CurrentMaxString1,,A,0.01,0,-20000,20000,INT16,6449,Register,1,03,,r
,CurrentMaxString1ModuleX,,A,0.01,0,-20000,20000,INT16,6450,Register,20,03,,r
,CurrentMaxString2,,A,0.01,0,-20000,20000,INT16,6470,Register,1,03,,r
,CurrentMaxString2ModuleX,,A,0.01,0,-20000,20000,INT16,6471,Register,20,03,,r
,CurrentMaxString3,,A,0.01,0,-20000,20000,INT16,6491,Register,1,03,,r
,CurrentMaxString3ModuleX,,A,0.01,0,-20000,20000,INT16,6492,Register,20,03,,r
,CurrentAvgSystem,,A,0.01,0,-20000,20000,INT16,6512,Register,1,03,,r
,CurrentAvgString1,,A,0.01,0,-20000,20000,INT16,6513,Register,1,03,,r
,CurrentAvgString1ModuleX,,A,0.01,0,-20000,20000,INT16,6514,Register,20,03,,r
,CurrentAvgString2,,A,0.01,0,-20000,20000,INT16,6534,Register,1,03,,r
,CurrentAvgString2ModuleX,,A,0.01,0,-20000,20000,INT16,6535,Register,20,03,,r
,CurrentAvgString3,,A,0.01,0,-20000,20000,INT16,6555,Register,1,03,,r
,CurrentAvgString3ModuleX,,A,0.01,0,-20000,20000,INT16,6556,Register,20,03,,r
,SOC - State of Charge,"SOC of System,String and Module in Min,Max and Avg",%,0.01,0,0,10000,UINT16,6576,Register,192,03,,r
,SocMinSystem,,%,0.01,0,0,10000,UINT16,6576,Register,1,03,,r
,SocMinString1,,%,0.01,0,0,10000,UINT16,6577,Register,1,03,,r
,SocMinString1ModuleX,,%,0.01,0,0,10000,UINT16,6578,Register,20,03,,r
,SocMinString2,,%,0.01,0,0,10000,UINT16,6598,Register,1,03,,r
,SocMinString2ModuleX,,%,0.01,0,0,10000,UINT16,6599,Register,20,03,,r
,SocMinString3,,%,0.01,0,0,10000,UINT16,6619,Register,1,03,,r
,SocMinString3ModuleX,,%,0.01,0,0,10000,UINT16,6620,Register,20,03,,r
,SocMaxSystem,,%,0.01,0,0,10000,UINT16,6640,Register,1,03,,r
,SocMaxString1,,%,0.01,0,0,10000,UINT16,6641,Register,1,03,,r
,SocMaxString1ModuleX,,%,0.01,0,0,10000,UINT16,6642,Register,20,03,,r
,SocMaxString2,,%,0.01,0,0,10000,UINT16,6662,Register,1,03,,r
,SocMaxString2ModuleX,,%,0.01,0,0,10000,UINT16,6663,Register,20,03,,r
,SocMaxString3,,%,0.01,0,0,10000,UINT16,6683,Register,1,03,,r
,SocMaxString3ModuleX,,%,0.01,0,0,10000,UINT16,6684,Register,20,03,,r
,SocAvgSystem,,%,0.01,0,0,10000,UINT16,6704,Register,1,03,,r
,SocAvgString1,,%,0.01,0,0,10000,UINT16,6705,Register,1,03,,r
,SocAvgString1ModuleX,,%,0.01,0,0,10000,UINT16,6706,Register,20,03,,r
,SocAvgString2,,%,0.01,0,0,10000,UINT16,6726,Register,1,03,,r
,SocAvgString2ModuleX,,%,0.01,0,0,10000,UINT16,6727,Register,20,03,,r
,SocAvgString3,,%,0.01,0,0,10000,UINT16,6747,Register,1,03,,r
,SocAvgString3ModuleX,,%,0.01,0,0,10000,UINT16,6748,Register,20,03,,r
